ID,ITEMCODE,ITEM,IN_BLOCKS_OF,METRICS,PRICE_PER_UNIT,CURRENCY,FEES,VOLUME_FROM,VOLUME_TO
1,*,Cloud - Applications,0,,0.00,,,,
2,**,Cloud - Business Transformation Management,0,,0.00,,,,
3,8011437,SAP Signavio Process Manager,1,User,829.00,USD,Month,1,19
4,8011437,SAP Signavio Process Manager,1,User,532.00,USD,Month,20,49
5,8011437,SAP Signavio Process Manager,1,User,425.00,USD,Month,50,99
6,8011437,SAP Signavio Process Manager,1,User,338.00,USD,Month,100,199
7,8011437,SAP Signavio Process Manager,1,User,265.00,USD,Month,200,499
8,8011437,SAP Signavio Process Manager,1,User,213.00,USD,Month,500,Infinite
9,8011438,SAP Signavio Journey Modeler,1,User,684.00,USD,Month,1,19
10,8011438,SAP Signavio Journey Modeler,1,User,435.00,USD,Month,20,49
11,8011438,SAP Signavio Journey Modeler,1,User,343.00,USD,Month,50,99
12,8011438,SAP Signavio Journey Modeler,1,User,296.00,USD,Month,100,199
13,8011438,SAP Signavio Journey Modeler,1,User,245.00,USD,Month,200,Infinite
14,8011439,SAP Signavio Process Governance,1,User,85.00,USD,Month,1,19
15,8011439,SAP Signavio Process Governance,1,User,53.00,USD,Month,20,49
16,8011439,SAP Signavio Process Governance,1,User,40.00,USD,Month,50,99
17,8011439,SAP Signavio Process Governance,1,User,35.00,USD,Month,100,199
18,8011439,SAP Signavio Process Governance,1,User,28.00,USD,Month,200,Infinite
19,8011440,SAP Signavio Process Collaboration Hub,10,User,77.00,USD,Month,1,99
20,8011440,SAP Signavio Process Collaboration Hub,10,User,39.00,USD,Month,100,299
21,8011440,SAP Signavio Process Collaboration Hub,10,User,19.00,USD,Month,300,999
22,8011440,SAP Signavio Process Collaboration Hub,10,User,12.00,USD,Month,1000,4999
23,8011440,SAP Signavio Process Collaboration Hub,10,User,8.87,USD,Month,5000,9999
24,8011440,SAP Signavio Process Collaboration Hub,10,User,7.76,USD,Month,10000,19999
25,8011440,SAP Signavio Process Collaboration Hub,10,User,6.10,USD,Month,20000,Infinite
26,8011441,SAP Signavio Process Governance Collaborator,10,User,157.00,USD,Month,1,99
27,8011441,SAP Signavio Process Governance Collaborator,10,User,116.00,USD,Month,100,499
28,8011441,SAP Signavio Process Governance Collaborator,10,User,88.00,USD,Month,500,999
29,8011441,SAP Signavio Process Governance Collaborator,10,User,55.00,USD,Month,1000,4999
30,8011441,SAP Signavio Process Governance Collaborator,10,User,45.00,USD,Month,5000,9999
31,8011441,SAP Signavio Process Governance Collaborator,10,User,35.00,USD,Month,10000,19999
32,8011441,SAP Signavio Process Governance Collaborator,10,User,27.00,USD,Month,20000,Infinite
33,8011444,"SAP Signavio Process Insights, additional storage",50,Gigabyte,2720.00,USD,Month,1,Infinite
34,8013422,"SAP Signavio Process Transformation Suite, private cloud edition",1,Tenant,138588.00,USD,Month,1,Infinite
35,8014823,SAP Signavio Process Intelligence,200000,Record,3276.00,USD,Month,1,9
36,8014823,SAP Signavio Process Intelligence,200000,Record,2567.00,USD,Month,10,19
37,8014823,SAP Signavio Process Intelligence,200000,Record,1865.00,USD,Month,20,49
38,8014823,SAP Signavio Process Intelligence,200000,Record,1162.00,USD,Month,50,99
39,8014823,SAP Signavio Process Intelligence,200000,Record,722.00,USD,Month,100,249
